series_id,fund_name,lei,isin,isin_source,figi,share_class_figi,figi_ticker,class_id,class_name,resolution
S000077869,Simplify Treasury Option Income ETF,549300LQ7VHDVPTEGI80,US82889N6408,GLEIF,BBG01B77MTX7,BBG01B77MVT7,BUCK,,,unresolved
S000077872,Nationwide U.S. 130/30 Equity Portfolio,549300EPA1LU1GRA8Z20,US63868D6546,SEC-NPORT,BBG019FGZ9K7,BBG019HFTK38,NW130R6,,,unresolved
S000077902,JPMorgan SmartRetirement 2065 Fund,549300ZPRVKCK6QZ5N73,US46645V1623,GLEIF,BBG019KND8Y7,BBG019MDQGL9,JSMOX,,,unresolved
S000077902,JPMorgan SmartRetirement 2065 Fund,549300ZPRVKCK6QZ5N73,US46645V1706,GLEIF,BBG019KND8X8,BBG019MDPP85,JSMMX,,,unresolved
S000077902,JPMorgan SmartRetirement 2065 Fund,549300ZPRVKCK6QZ5N73,US46645V1888,GLEIF,BBG019KND8W9,BBG019MDP4Z2,JSMLX,,,unresolved
S000077902,JPMorgan SmartRetirement 2065 Fund,549300ZPRVKCK6QZ5N73,US46645V1961,GLEIF,BBG019KND8Z6,BBG019MDRF49,JSMPX,,,unresolved
S000077902,JPMorgan SmartRetirement 2065 Fund,549300ZPRVKCK6QZ5N73,US46645V2126,GLEIF,BBG019KND8V0,BBG019MDN7N0,JSMKX,,,unresolved
S000077902,JPMorgan SmartRetirement 2065 Fund,549300ZPRVKCK6QZ5N73,US46645V2209,GLEIF,BBG019KND8T3,BBG019MDMXH1,JSMJX,,,unresolved
S000077902,JPMorgan SmartRetirement 2065 Fund,549300ZPRVKCK6QZ5N73,US46645V2381,GLEIF,BBG019KND8S4,BBG019MDLNG5,JSMHX,,,unresolved
S000077902,JPMorgan SmartRetirement 2065 Fund,549300ZPRVKCK6QZ5N73,US46645V2464,GLEIF,BBG019KND8R5,BBG019MDKXR2,JSMEX,,,unresolved
S000077903,JPMorgan SmartRetirement Blend 2065 Fund,549300NFDGNCM6HDVQ16,US46655R1014,GLEIF,BBG019KND8M0,BBG019MCZRD6,JSBSX,,,unresolved
S000078061,Simplify Propel Opportunities ETF,549300DJ9GVPZFC9VR09,US82889N6242,GLEIF,BBG01F3Z7WY9,BBG01F3Z7YG5,SURI,,,unresolved
S000078276,Virtus Stone Harbor Emerging Markets High Yield Bond ETF,549300XJPVD8EVRFU454,US92790A8018,SEC-NPORT,BBG01BLRMV71,BBG01BLRMW33,VEMY,,,unresolved
S000078298,Tema American Reshoring ETF,549300E0RPLRINA1AM73,US87975E6023,GLEIF,BBG01GL4H9P6,BBG01GL4HBM4,WELD,,,unresolved
S000078299,Tema Oncology ETF,549300N3IU4YD19QLF24,US87975E7013,GLEIF,BBG01HWYMDJ8,BBG01HWYMFD9,CANC,,,unresolved
S000078302,Tema Durable Quality ETF,549300CRLNGU5IX2UD74,US87975E1073,GLEIF,BBG01GL6QNW2,BBG01GL6QPR3,TOLL,,,unresolved
S000078313,PIMCO Preferred and Capital Securities Active Exchange-Traded Fund,549300XBG0GWIQBZLV45,US72201R6190,SEC-NPORT,BBG01CCC8SN7,BBG01CCC8TJ0,PRFD,,,unresolved
S000078941,Invesco AAA CLO Floating Rate Note ETF,549300DBWQMREPD1O878,US46090A7211,SEC-NPORT,BBG01BTTD004,BBG01BTTD0X8,ICLO,,,unresolved
S000078942,Invesco High Yield Select ETF,549300CIKWQL9VXSUD47,US46090A7542,SEC-NPORT,BBG01BTSPGR9,BBG01BTSPHM2,GTOH,,,unresolved
S000078943,Invesco Rochester High Yield Municipal ETF,5493006RURMGCZH0OI34,US46090A7476,SEC-NPORT,BBG01BTSRXS9,BBG01BTSRYP0,IROC,,,unresolved
S000078944,Invesco Short Duration Total Return Bond ETF,549300GDXFVEQHJBTS26,US46090A7393,SEC-NPORT,BBG01BTSQZS5,BBG01BTSR0M7,GTOS,,,unresolved
S000078980,Sprott Critical Materials ETF,254900P8ZEMYFBUE9512,US85208P4028,SEC-NPORT,BBG01DJ8DDW4,BBG01DJ8DFQ6,SETM,,,unresolved
S000079043,WisdomTree VOYA Yield Enhanced USD Universal Bond Fund,549300DWZY31IVE39G76,US97717Y4695,SEC-NPORT,BBG01DS7V9W5,BBG01DS7VBQ7,UNIY,,,unresolved
S000079064,iShares AAA CLO Active ETF,529900KNSFG5S5J6YP44,US0925285043,SEC-NPORT,BBG01C8314R8,BBG01C8315P7,CLOA,,,unresolved
S000079104,Pacer US Large Cap Cash Cows Growth Leaders ETF,549300P2K41D5T371Q52,US69374H3600,GLEIF,BBG01C3RRL30,BBG01C3RRM56,COWG,,,unresolved
S000079153,WisdomTree 3-7 Year Treasury Digital Fund,549300QHOFZXGADZQT59,US97717K2042,GLEIF,BBG01BZ7HPT5,BBG01C336210,WTTSX,,,unresolved
S000079157,WisdomTree 7-10 Year Treasury Digital Fund,549300OHTF593PIWLU32,US97717K3032,GLEIF,BBG01C178D71,BBG01C385746,WTSTX,,,unresolved
S000079158,WisdomTree Long-Term Treasury Digital Fund,549300EOZHGZP0PVRW43,US97717K4022,GLEIF,BBG01BZ7HPR7,BBG01C31PH38,WTLGX,,,unresolved
S000079160,WisdomTree Floating Rate Treasury Digital Fund,549300VZJ3AXIK3U1O27,US97717K5011,GLEIF,BBG01C178BM8,BBG01C3817S4,FLTTX,,,unresolved
S000079161,WisdomTree TIPS Digital Fund,549300UOPODGPAHEQB46,US97717K6001,GLEIF,BBG01C178BT1,BBG01C381LP6,TIPSX,,,unresolved
S000079163,WisdomTree 500 Digital Fund,5493007EIAQHPSMFLB53,US97717K7090,GLEIF,BBG01BZ7HPK4,BBG01C31MX36,SPXUX,,,unresolved
S000079204,BlackRock Diversified Fixed Income Fund,549300SEQK2DPV0R7O94,US09260W5849,SEC-NPORT,BBG01B21VDX0,BBG01B35VLR9,BDVFX,,,unresolved
S000079237,AST Bond Portfolio 2034,549300A6I65SH1EIZY34,US00771J4360,GLEIF,,,,,,unresolved
S000079261,PMV Adaptive Risk Parity ETF,5493009AWY4WDEXQDM62,US00791R3012,GLEIF,BBG01C17LTH0,BBG01C17LVB1,ARP,,,unresolved
S000079339,Innovator Premium Income 20 Barrier ETF - April,54930004O6CNI4YZKB06,US45783Y6243,GLEIF,BBG01G42JFZ2,BBG01G42JGW3,APRH,,,unresolved
S000079512,First Trust Multi-Strategy Alternative ETF,549300ILTLIOWNK6DI43,US33740F4900,SEC-NPORT,BBG01C9XD0W0,BBG01C9XD1Q5,LALT,,,unresolved
S000079520,Fulcrum Diversified Absolute Return Fund,549300TUEDT9IN7ZUS82,US66537J1016,GLEIF,BBG01FV9NM34,BBG01FV9NM70,FARYX,,,unresolved
S000079520,Fulcrum Diversified Absolute Return Fund,549300TUEDT9IN7ZUS82,US66537J2006,GLEIF,BBG01FV9NFB0,BBG01FV9NFC9,FARIX,,,unresolved
S000079520,Fulcrum Diversified Absolute Return Fund,549300TUEDT9IN7ZUS82,US66537J3095,GLEIF,,,,,,unresolved
S000079576,Roundhill Magnificent Seven ETF,549300XYABGAKA0WAI17,US53656G4982,SEC-NPORT,BBG01G5ZXR40,BBG01G5ZXS48,MAGS,,,unresolved
